security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Chebyshev_Series,CKKS_Mult,CKKS_Mult_Scalar,CKKS_Square,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Chebyshev_Series_count,CKKS_Mult_count,CKKS_Mult_Scalar_count,CKKS_Square_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_Scalar_contribution,CKKS_Mult_contribution,CKKS_Square_contribution,CKKS_Chebyshev_Series_contribution,estimated_Energy
none,14,18,32,0.0837037037037037,42.815,2.228518518518518,0.0662719298245614,2.1242857142857146,0.0908360655737705,0.037167192429022,3,3,3,3,3,3,3,5.859259259259259,7.721065573770492,1.152182965299682,4.440219298245614,258.5081481481481,16.994285714285716,42.815,337.49016095900885
none,14,20,1,0.0226998323085522,68.04,2.827500000000001,0.0493287671232876,2.9075,0.1230996309963099,0.0129059570607801,3,3,3,3,3,3,3,1.5889882615986541,10.463468634686341,0.4000846688841831,3.305027397260269,327.9900000000001,23.26,68.04,435.0475689624296
none,14,20,2,0.0715384615384615,50.95,2.205,0.0570962732919254,2.088125,0.1223398328690807,0.0236107193229901,3,3,3,3,3,3,3,5.007692307692305,10.39888579387186,0.7319322990126931,3.825450310559002,255.78,16.705,50.95,343.3989607111358
none,14,20,4,0.0676,41.02,1.9249999999999996,0.0525380710659898,1.9127272727272728,0.0872199170124481,0.0241572285143237,3,3,3,3,3,3,3,4.731999999999999,7.413692946058089,0.7488740839440348,3.5200507614213166,223.29999999999995,15.301818181818183,41.02,296.03643597324157
none,14,20,8,0.079603448275862,43.23,1.8638461538461544,0.0560187353629976,1.793214285714285,0.0853135888501742,0.0331392235609103,3,3,3,3,3,3,3,5.57224137931034,7.251655052264807,1.0273159303882193,3.753255269320839,216.2061538461539,14.34571428571428,43.23,291.3863357631524
none,14,20,16,0.091005291005291,47.98500000000001,2.212307692307693,0.0644196951934349,2.1011111111111105,0.0941958041958041,0.039476902173913,3,3,3,3,3,3,3,6.37037037037037,8.006643356643348,1.2237839673913031,4.316119577960139,256.62769230769237,16.808888888888884,47.98500000000001,341.3384984689464
none,14,20,32,0.0860347826086956,48.69,2.474583333333333,0.067531865585168,2.5124,0.0995281306715063,0.039460580912863,3,3,3,3,3,3,3,6.022434782608692,8.459891107078036,1.223278008298753,4.524634994206256,287.0516666666666,20.0992,48.69,376.07110555885833
none,15,10,1,0.0241647196261682,57.49,3.0963636363636367,0.0528673323823109,2.923636363636363,0.1359845559845559,0.0142119118130964,3,3,3,3,3,3,3,1.691530373831774,11.55868725868725,0.4405692662059884,3.5421112696148302,359.1781818181818,23.389090909090903,57.49,457.29017089561256
none,15,10,2,0.0628906249999999,46.61,2.622857142857145,0.0585248447204969,2.2673333333333323,0.1168059701492537,0.0267907303370786,3,3,3,3,3,3,3,4.402343749999993,9.928507462686564,0.8305126404494366,3.921164596273292,304.25142857142885,18.13866666666666,46.61,388.0826236875048
none,15,10,4,0.0685391304347826,40.78,2.0905000000000005,0.0569724770642202,1.8171428571428567,0.0876763485477178,0.0279850746268656,3,3,3,3,3,3,3,4.797739130434782,7.452489626556013,0.8675373134328336,3.817155963302753,242.49800000000005,14.537142857142854,40.78,314.7500648908692
none,15,10,8,0.0771704745166959,38.595,2.438181818181818,0.0632330827067669,2.255217391304348,0.0875378787878787,0.0343929058663028,3,3,3,3,3,3,3,5.401933216168713,7.44071969696969,1.0661800818553868,4.236616541353382,282.8290909090909,18.041739130434784,38.595,357.6112795758728
none,15,10,16,0.0865674603174603,41.49,2.356818181818181,0.0598734177215189,2.4165217391304337,0.0926306913996627,0.0345880776959142,3,3,3,3,3,3,3,6.059722222222222,7.87360876897133,1.0722304085733403,4.011518987341766,273.390909090909,19.33217391304347,41.49,353.2301633910611
none,15,10,32,0.0898811544991511,41.355,2.442272727272727,0.0648971722365038,2.334166666666667,0.0893367346938776,0.0361404682274247,3,3,3,3,3,3,3,6.291680814940577,7.593622448979596,1.1203545150501657,4.348110539845755,283.3036363636363,18.673333333333336,41.355,362.6857380157858
none,15,12,1,0.0352946273830155,73.02000000000001,3.866666666666667,0.061578947368421,3.713333333333333,0.1585849056603774,0.0159078484966809,3,3,3,3,3,3,3,2.470623916811085,13.479716981132079,0.4931433033971079,4.125789473684207,448.5333333333334,29.706666666666663,73.02000000000001,571.8292736750245
none,15,12,2,0.08274231678487,60.03999999999999,3.253333333333333,0.0698715596330275,3.134166666666667,0.1270567375886525,0.0402194092827004,3,3,3,3,3,3,3,5.7919621749409,10.799822695035461,1.2468016877637125,4.681394495412843,377.3866666666666,25.073333333333338,60.03999999999999,485.01998105315283
none,15,12,4,0.0745233644859813,45.370000000000005,2.5275000000000007,0.0613725490196078,2.71125,0.1106933333333333,0.0317679999999999,3,3,3,3,3,3,3,5.216635514018692,9.40893333333333,0.9848079999999969,4.111960784313722,293.1900000000001,21.69,45.370000000000005,379.9723376316659
none,15,12,8,0.0975975359342915,47.08,2.748333333333334,0.0672815533980582,2.728333333333333,0.1085287846481876,0.0404908946951702,3,3,3,3,3,3,3,6.831827515400406,9.224946695095946,1.2552177355502763,4.5078640776698995,318.80666666666673,21.826666666666664,47.08,409.5331893570499
none,15,12,16,0.0954471544715447,48.635,3.177222222222221,0.0775683060109289,2.95421052631579,0.1197089397089397,0.0439733998337489,3,3,3,3,3,3,3,6.681300813008129,10.175259875259874,1.363175394846216,5.197076502732236,368.55777777777763,23.63368421052632,48.635,464.2432745741504
none,15,12,32,0.0939918533604887,48.190000000000005,2.906666666666668,0.0823439667128987,3.0073684210526306,0.1128256070640176,0.0464023372287145,3,3,3,3,3,3,3,6.579429735234209,9.590176600441497,1.4384724540901495,5.517045769764213,337.1733333333335,24.058947368421045,48.190000000000005,432.54740526128467
none,15,14,1,0.0375784753363228,84.62,3.801249999999998,0.0706496062992125,3.96125,0.1883516483516482,0.019006993006993,3,3,3,3,3,3,3,2.630493273542596,16.009890109890097,0.589216783216783,4.733523622047238,440.94499999999977,31.69,84.62,581.2181237886964
