security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Chebyshev_Series,CKKS_Mult,CKKS_Mult_Scalar,CKKS_Square,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Chebyshev_Series_count,CKKS_Mult_count,CKKS_Mult_Scalar_count,CKKS_Square_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_Scalar_contribution,CKKS_Mult_contribution,CKKS_Square_contribution,CKKS_Chebyshev_Series_contribution,estimated_Time
none,14,12,2,0.0005915328638497,0.3913905,0.0209708333333333,0.0004980519098922,0.02047296,0.0009204520069808,0.0002218731899956,3,3,3,3,3,3,3,0.041407300469479,0.078238420593368,0.0068780688898636,0.0333694779627774,2.4326166666666627,0.16378368,0.3913905,3.1476841145821504
none,14,12,4,0.0005384316996871,0.285667,0.0171863448275862,0.0004198070456365,0.0148400857142857,0.0006459346733668,0.00021828636552,3,3,3,3,3,3,3,0.037690218978097,0.054904447236177996,0.00676687733112,0.028127072057645502,1.9936159999999992,0.1187206857142856,0.285667,2.525492301317325
none,14,12,8,0.0005494570519618,0.2497739999999999,0.0134147837837837,0.0003921107692307,0.0131939743589743,0.0005233752620545,0.0002138128898128,3,3,3,3,3,3,3,0.038461993637326004,0.0444868972746325,0.006628199584196801,0.0262714215384569,1.5561149189189092,0.1055517948717944,0.2497739999999999,2.0272892258253155
none,14,12,16,0.0005357712765957,0.2295743333333333,0.013500054054054,0.0003687663003663,0.0134218717948717,0.0005315675381263,0.0002113834523309,3,3,3,3,3,3,3,0.037503989361699,0.0451832407407355,0.0065528870222579,0.0247073421245421,1.566006270270264,0.1073749743589736,0.2295743333333333,2.0169030372118053
none,14,12,32,0.0005273959445037,0.221645,0.0134118947368421,0.0003855256975036,0.0130293076923076,0.0005611574468085,0.0002076673719847,3,3,3,3,3,3,3,0.036917716115259,0.047698382978722496,0.0064376885315257,0.0258302217327412,1.5557797894736836,0.1042344615384608,0.221645,1.9985432603703928
none,14,14,1,0.0001850631735414,0.6973199999999999,0.0311427499999999,0.0005129766536964,0.0318521875,0.001323368556701,0.0001098439268611,3,3,3,3,3,3,3,0.012954422147898,0.11248632731958501,0.0034051617326940997,0.034369435797658804,3.6125589999999885,0.2548175,0.6973199999999999,4.727911846997824
none,14,14,2,0.0006835651577503,0.4918239999999999,0.0231240454545454,0.0005505921787709,0.0222667826086956,0.0010280998003992,0.0002485005050505,3,3,3,3,3,3,3,0.047849561042521,0.087388483033932,0.007703515656565499,0.036889675977650305,2.6823892727272667,0.1781342608695648,0.4918239999999999,3.5321787693075
none,14,14,4,0.0006303417218543,0.363165,0.0167752333333333,0.0004885479582146,0.0198459999999999,0.0007416429675425,0.0002495794074793,3,3,3,3,3,3,3,0.044123920529801006,0.0630396522411125,0.007736961631858301,0.0327327132003782,1.9459270666666626,0.1587679999999992,0.363165,2.615493314269812
none,14,14,8,0.0006035958485958,0.294756,0.0153886285714285,0.0004408815903197,0.0140345675675675,0.000607978128797,0.0002346875612144,3,3,3,3,3,3,3,0.042251709401706,0.051678140947745,0.0072753143976464,0.0295390665514199,1.785080914285706,0.11227654054054,0.294756,2.322857686124763
none,14,14,16,0.0006213773349937,0.2833275,0.0150731142857142,0.00042299831508,0.0132760526315789,0.0006337780548628,0.0002462502434274,3,3,3,3,3,3,3,0.043496413449559,0.053871134663338,0.0076337575462494,0.02834088711036,1.7484812571428474,0.1062084210526312,0.2833275,2.2713593709649853
none,14,14,32,0.0006213217391304,0.2752239999999999,0.0154216470588235,0.000427977443609,0.0136825405405405,0.0006392996254681,0.0002512906356137,3,3,3,3,3,3,3,0.043492521739128,0.054340468164788505,0.0077900097040247,0.028674488721803,1.788911058823526,0.109460324324324,0.2752239999999999,2.307892871477594
none,14,16,1,0.0002139507346585,0.8436480000000001,0.0374436428571428,0.0005635709497206,0.0388415714285714,0.0014866895522388,0.0001277405753968,3,3,3,3,3,3,3,0.014976551426094999,0.126368611940298,0.0039599578373008,0.0377592536312802,4.343462571428565,0.3107325714285712,0.8436480000000001,5.680907517692109
none,14,16,2,0.0007751761006289,0.5888829999999999,0.0274220526315789,0.0006497623261694,0.0265887,0.0011911103286384,0.0002891119360365,3,3,3,3,3,3,3,0.054262327044023,0.101244377934264,0.0089624700171315,0.0435340758533498,3.1809581052631524,0.2127096,0.5888829999999999,4.190553956111921
none,14,16,4,0.000703934065934,0.4213234999999999,0.0220651666666666,0.0005385419689119,0.020081,0.0008541358234295,0.0002766949891067,3,3,3,3,3,3,3,0.04927538461538,0.0726015449915075,0.0085775446623077,0.0360823119170973,2.5595593333333255,0.160648,0.4213234999999999,3.3080676195196177
none,14,16,8,0.000684471488178,0.343527,0.0169906999999999,0.0004722361241768,0.0164179677419354,0.0007221472650771,0.0002690605078336,3,3,3,3,3,3,3,0.04791300417246,0.06138251753155351,0.0083408757428416,0.0316398203198456,1.9709211999999885,0.1313437419354832,0.343527,2.5950681597021723
none,14,16,16,0.0006919254571026,0.3116265,0.0171749333333333,0.000496518660287,0.0164286774193548,0.0007214528571428,0.0002713088803088,3,3,3,3,3,3,3,0.048434781997182,0.061323492857138,0.0084105752895728,0.033266750239229,1.9922922666666627,0.1314294193548384,0.3116265,2.586783786404623
none,14,16,32,0.0006882645429362,0.3127689999999999,0.0175771071428571,0.000494416981132,0.0158659666666666,0.0007042142857142,0.000290405254332,3,3,3,3,3,3,3,0.048178518005534,0.059858214285707,0.009002562884292,0.033125937735844,2.0389444285714236,0.1269277333333328,0.3127689999999999,2.6288063948161335
none,14,18,1,0.000258103960396,0.955367,0.0414237692307692,0.0006440513784461,0.0410683846153846,0.001671206081081,0.0001400793234179,3,3,3,3,3,3,3,0.018067277227720002,0.142052516891885,0.0043424590259549005,0.0431514423558887,4.805157230769227,0.3285470769230768,0.955367,6.296685003193753
none,14,18,2,0.0008639229422066,0.656131,0.0292241176470588,0.0006961636107193,0.0294576666666666,0.0012914413265306,0.0003191140127388,3,3,3,3,3,3,3,0.060474605954462,0.109772512755101,0.0098925343949028,0.046642961918193095,3.389997647058821,0.2356613333333328,0.656131,4.508572595414813
none,14,18,4,0.0007800700934579,0.4533245,0.0216630416666666,0.0005552392065344,0.0198384799999999,0.0009116565295169,0.0003080658536585,3,3,3,3,3,3,3,0.054604906542052994,0.0774908050089365,0.0095500414634135,0.037201026837804796,2.512912833333326,0.1587078399999992,0.4533245,3.3037919531855326
none,14,18,8,0.0008019171875,0.3663289999999999,0.0186637142857142,0.0005614661572052,0.017464,0.0008259642857142,0.0003091399276236,3,3,3,3,3,3,3,0.056134203125,0.070206964285707,0.0095833377563316,0.037618232532748395,2.1649908571428473,0.139712,0.3663289999999999,2.844574594842634
none,14,18,16,0.0008583794212218,0.363661,0.0192668571428571,0.000537885193133,0.0174488620689655,0.0008232621359223,0.0003106951995373,3,3,3,3,3,3,3,0.060086559485526,0.0699772815533955,0.0096315511856563,0.036038307939911,2.2349554285714235,0.139590896551724,0.363661,2.9139410252876363
none,14,18,32,0.0007929938271604,0.3604125,0.0187234814814814,0.0005854595545134,0.0178664999999999,0.000823645056726,0.0003286429022082,3,3,3,3,3,3,3,0.055509567901228005,0.07000982982171,0.0101879299684542,0.0392257901523978,2.1719238518518424,0.1429319999999992,0.3604125,2.850201469695632
