security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Energy
none,15,16,16,0.14104097233132443,4.051555555555556,0.17988615216201417,3.552352941176471,3,3,3,3,25.105293074975748,685.6041176470588,64.82488888888889,5.7563568691844536,781.2906564801078
none,15,16,32,0.11962721715372604,4.195063492063493,0.17659352399737016,3.4727450980392156,3,3,3,3,21.293644653363234,670.2398039215686,67.12101587301589,5.650992767915845,764.3054572158635
none,15,18,1,0.05653386544301713,5.607222222222222,0.2071428571428571,5.082777777777779,3,3,3,3,10.06302804885705,980.9761111111114,89.71555555555555,6.628571428571427,1087.3832661440954
none,15,18,2,0.10497647121734706,4.078564814814815,0.2655376344086022,4.001481481481482,3,3,3,3,18.685811876687776,772.2859259259261,65.25703703703704,8.49720430107527,864.7259791407262
none,15,18,4,0.12460842629795066,3.759090909090908,0.27408602150537636,3.402307692307692,3,3,3,3,22.180299881035218,656.6453846153846,60.14545454545453,8.770752688172044,747.7418917300464
none,15,18,8,0.1432614605820184,3.663644688644689,0.20608046522058024,3.4897777777777783,3,3,3,3,25.50053998359928,673.5271111111113,58.61831501831502,6.594574887058568,764.2405410000841
none,15,18,16,0.16519723455419896,4.328571428571428,0.25826582365237655,4.097916666666667,3,3,3,3,29.405107750647414,790.8979166666668,69.25714285714285,8.26450635687605,897.8246736313331
none,15,18,32,0.15369407993137582,4.447454212454213,0.2242578976034857,3.768499999999999,3,3,3,3,27.357546227784898,727.3204999999998,71.1592673992674,7.176252723311542,833.0135663503637
none,15,20,1,0.07588525776488833,5.772777777777777,0.20817340067340087,5.935,3,3,3,3,13.507575882150123,1145.455,92.36444444444443,6.661548821548828,1257.9885691481434
none,15,20,2,0.11910344770845237,4.8187500000000005,0.3353226817042609,4.402916666666666,3,3,3,3,21.200413692104522,849.7629166666666,77.10000000000001,10.730325814536348,958.7936561733076
none,15,20,4,0.14491096179618504,3.9203030303030286,0.19161513907888728,3.4702777777777776,3,3,3,3,25.794151199720936,669.7636111111111,62.72484848484846,6.131684450524393,764.4142952462049
none,15,20,8,0.14699022010765087,3.6269871794871804,0.22858458831444384,3.125984126984127,3,3,3,3,26.164259179161853,603.3149365079365,58.03179487179489,7.314706826062203,694.8256973849554
none,15,20,16,0.1807565853125027,4.534358974358975,0.26396464002048575,4.179999999999999,3,3,3,3,32.174672185625475,806.7399999999998,72.5497435897436,8.446868480655544,919.9112842560244
none,15,20,32,0.1880451393411506,5.036324786324786,0.262667058132707,4.723523809523811,3,3,3,3,33.47203480272481,911.6400952380955,80.58119658119658,8.405345860246625,1034.0986724822635
none,16,10,1,0.07147495092466387,7.241999999999997,0.3328658536585364,6.183444444444443,3,3,3,3,12.722541264590168,1193.4047777777776,115.87199999999996,10.651707317073164,1332.6510263594407
none,16,10,2,0.1153398453398453,5.197440476190476,0.25771549444738256,4.5233333333333325,3,3,3,3,20.530492470492465,873.0033333333332,83.15904761904761,8.246895822316242,984.9397692451896
none,16,10,4,0.1240820655212973,3.769962962962962,0.19736559253950578,4.054545454545454,3,3,3,3,22.086607662790918,782.5272727272726,60.31940740740739,6.315698961264185,871.2489867587351
none,16,10,8,0.13744825695956844,4.759333333333334,0.2135575221238938,4.5684848484848475,3,3,3,3,24.46578973880318,881.7175757575756,76.14933333333335,6.833840707964602,989.1665395376767
none,16,10,16,0.16007038123167153,5.469666666666666,0.2245145512350207,4.8947222222222235,3,3,3,3,28.492527859237534,944.6813888888892,87.51466666666666,7.1844656395206625,1067.873049054314
none,16,10,32,0.15804218385100735,5.303333333333334,0.23137622555561474,4.491666666666666,3,3,3,3,28.131508725479307,866.8916666666665,84.85333333333334,7.404039217779672,987.2805479432589
none,16,12,1,0.0913260014202786,9.5,0.4062857142857142,8.686666666666666,3,3,3,3,16.25602825280959,1676.5266666666664,152.0,13.001142857142854,1857.7838377766188
none,16,12,2,0.1552835742071773,8.189444444444442,0.3255078034008852,6.338333333333335,3,3,3,3,27.640476208877562,1223.2983333333336,131.03111111111107,10.416249708828326,1392.3861703621506
none,16,12,4,0.14965695877410648,5.204999999999998,0.2000614856311059,6.498095238095238,3,3,3,3,26.638938661790952,1254.132380952381,83.27999999999997,6.401967540195389,1370.4532871543672
none,16,12,8,0.16152033601045548,5.482500000000002,0.2812921154752838,5.543666666666666,3,3,3,3,28.750619809861075,1069.9276666666665,87.72000000000003,9.001347695209082,1195.3996341717366
none,16,12,16,0.1699066754501537,6.567037037037036,0.2148461538461538,5.862666666666667,3,3,3,3,30.24338823012736,1131.4946666666667,105.07259259259257,6.8750769230769215,1273.6857244124635
none,16,12,32,0.1865429298553324,5.939629629629631,0.20205699898723153,6.077999999999999,3,3,3,3,33.20464151424917,1173.0539999999999,95.0340740740741,6.465823967591409,1307.7585395559147
none,16,14,1,0.10571686214850073,10.898333333333333,0.2854444444444442,10.243333333333334,3,3,3,3,18.81760146243313,1976.9633333333334,174.37333333333333,9.134222222222215,2179.2884903513223
none,16,14,2,0.17422326879469738,7.687333333333338,0.34347826086956523,5.082222222222225,3,3,3,3,31.011741845456132,980.8688888888895,122.9973333333334,10.991304347826087,1145.8692684155053
none,16,14,4,0.14918499039523264,7.20904761904762,0.27792891649413376,6.692380952380955,3,3,3,3,26.55492829035141,1291.6295238095245,115.34476190476192,8.89372532781228,1442.4229393324501
none,16,14,8,0.16524370206820574,5.838750000000001,0.26925182748538007,4.992888888888889,3,3,3,3,29.41337896814062,963.6275555555557,93.42000000000002,8.616058479532162,1095.0769930032284
none,16,14,16,0.2434395421285228,6.860833333333333,0.2985042478760618,6.421666666666667,3,3,3,3,43.33223849887706,1239.3816666666667,109.77333333333333,9.552135932033977,1402.039374430911
none,16,14,32,0.24001111583893953,6.37,0.2010461814547272,5.797333333333334,3,3,3,3,42.72197861933124,1118.8853333333336,101.92,6.43347780655127,1269.9607897592161
none,16,16,1,0.14747164591977877,12.793333333333331,0.46260582010581963,9.501666666666667,3,3,3,3,26.24995297372062,1833.8216666666667,204.6933333333333,14.803386243386228,2079.5683392171068
none,16,16,2,0.18695906432748532,8.49533333333333,0.4148597560975607,8.719999999999999,3,3,3,3,33.278713450292386,1682.9599999999998,135.92533333333327,13.275512195121943,1865.4395589787475
none,16,16,4,0.16337850618902833,7.112777777777777,0.28622222222222204,6.350952380952381,3,3,3,3,29.081374101647043,1225.7338095238097,113.80444444444443,9.159111111111105,1377.7787391810123
none,16,16,8,0.22174160529025103,6.635238095238097,0.3659401709401709,5.607916666666665,3,3,3,3,39.470005741664686,1082.3279166666664,106.16380952380955,11.710085470085469,1239.671817402226
none,16,16,16,0.27224900503116317,7.7892261904761915,0.30507020308519,6.839120370370373,3,3,3,3,48.460322895547044,1319.950231481482,124.62761904761906,9.76224649872608,1502.800419923374
