Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,runtime_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,hexl,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power
2025-12-01 09:55:51.873,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,False,0.0017354459930313587,0.1905574912891986,109.80318146135207,0.0025000094339622638,0.2737735849056603,109.5090207206765,0.028241833333333334,2.7811111111111106,98.47487867682494,0.0031479890109890104,0.3369230769230769,107.02803464273373
2025-12-01 09:56:12.292,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,False,0.003781658914728682,0.4148837209302325,109.70945034581435,0.005177960784313724,0.49568627450980385,95.73001711628473,0.061228000000000005,6.124444444444446,100.0268577194167,0.006857204545454545,0.7361363636363634,107.35225393332159
2025-12-01 09:56:32.804,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,False,0.003803861538461538,0.41430769230769215,108.91765857367612,0.0052718,0.5255999999999998,99.70029212033837,0.059439111111111095,5.855555555555554,98.5135114926199,0.006842477272727271,0.6886363636363639,100.64138121161601
2025-12-01 09:56:53.377,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,False,0.0038325581395348834,0.42674418604651154,111.34708737864077,0.005646359999999996,0.6182000000000007,109.48646561678696,0.062106444444444464,6.191111111111113,99.68548620826608,0.0064486666666666685,0.631555555555555,97.93583514249273
2025-12-01 09:57:13.765,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,False,0.003942179687499998,0.41765624999999995,105.94551316986363,0.005310260000000004,0.5663999999999998,106.66144407241818,0.0577148888888889,5.574444444444444,96.58589926727936,0.007395738095238101,0.8221428571428571,111.16440936060334
2025-12-01 09:57:34.138,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,False,0.00418312,0.4613599999999999,110.29088335978884,0.00571986,0.5855999999999999,102.38012818495555,0.060525777777777776,6.023333333333335,99.51682662299997,0.006474568181818182,0.644545454545455,99.55033856241735
2025-12-01 09:58:11.071,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,False,0.008980054545454544,1.008909090909091,112.34999584938745,0.011116458333333343,1.2129166666666666,109.10999081691926,0.12468619999999991,12.914000000000001,103.5720071667916,0.01411763636363636,1.2622727272727285,89.41105258413086
2025-12-01 09:58:48.258,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,False,0.00918675,0.9810714285714295,106.79200245695479,0.011019400000000013,1.0820000000000007,98.1904640906038,0.12447199999999992,12.451999999999998,100.03856288964592,0.014105545454545468,1.4050000000000011,99.60621547940525
2025-12-01 09:59:26.616,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,False,0.009195410714285722,0.9998214285714289,108.73048084933666,0.011184240000000012,1.1167999999999996,99.8547956767736,0.12288660000000007,12.094000000000001,98.41593794604127,0.014979095238095236,1.4757142857142878,98.51825242162903
2025-12-01 10:00:03.945,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,False,0.00907183928571429,0.9983928571428566,110.05407235499169,0.010930759999999998,1.1616,106.26891451280608,0.12387799999999999,12.494,100.85729508064387,0.014355476190476182,1.3652380952380962,95.10225067586632
2025-12-01 10:00:41.077,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,False,0.009414781818181818,1.0183636363636355,108.16646163769536,0.010578199999999996,0.9936000000000007,93.92902384148542,0.12036600000000008,12.15400000000001,100.97535848993904,0.014034954545454545,1.4177272727272712,101.01402666718475
2025-12-01 10:01:51.914,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,False,0.018729607142857124,2.0707142857142866,110.5583405951999,0.02286516666666666,2.5191666666666634,110.17486569818709,0.26259900000000025,25.789999999999992,98.21057962901598,0.02795736363636364,2.643636363636368,94.55957285606993
2025-12-01 10:03:03.110,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,False,0.018027785714285677,1.9285714285714288,106.97772089908855,0.02195566666666665,2.2974999999999994,104.64268905521737,0.25591549999999996,26.49000000000001,103.5107291273878,0.029528454545454552,3.0045454545454575,101.75085356805307
2025-12-01 10:04:14.916,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,False,0.019270392857142882,2.1832142857142838,113.29370926161685,0.024510166666666666,2.5533333333333346,104.17445821801843,0.24925449999999993,25.390000000000015,101.86375772553764,0.0300988181818182,2.8618181818181867,95.08074916864763
2025-12-01 10:05:26.017,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,False,0.019274285714285716,2.108928571428571,109.41669137266524,0.022946249999999946,2.5124999999999957,109.49501552541273,0.2627925,25.170000000000016,95.77898912640208,0.03086527272727274,3.1390909090909105,101.70300249176773
2025-12-01 10:06:36.981,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,False,0.019244857142857147,2.079285714285712,108.04370740977167,0.022080250000000023,2.4641666666666637,111.6004876152517,0.23426900000000028,24.310000000000002,103.76959819694443,0.029514727272727248,2.7472727272727298,93.08142006147949
