Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_MultNoRelin Time,CKKS_MultNoRelin Energy,CKKS_MultNoRelin Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Mult_Scalar Time,CKKS_Mult_Scalar Energy,CKKS_Mult_Scalar Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_ModReduce Time,CKKS_ModReduce Energy,CKKS_ModReduce Power,CKKS_LevelReduce Time,CKKS_LevelReduce Energy,CKKS_LevelReduce Power
2025-06-22 15:05:10.257,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,4,True,False,False,False,True,True,0.0006685291005291005,0.047235449735449735,70.65578700772446,0.0007438801775147929,0.06375739644970416,85.70922895500367,0.002270635514018692,0.15079439252336452,66.41065533960602,0.0011228311688311686,0.08264069264069263,73.60028376013017,0.0004851364522417155,0.037485380116959066,77.26770467101957,0.015029764705882347,1.3155882352941175,87.53219102486833,0.0012796000000000057,0.17300000000000004,135.1984995311029,0.00037459999999998883,0.13600000000000012,363.0539241858093
2025-06-22 15:05:29.271,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,4,True,False,False,False,True,True,0.0005420098901098902,0.04109890109890109,75.82684716429891,0.0007346305637982198,0.06841246290801188,93.12498863959962,0.002362411214953271,0.1823831775700935,77.20212993219349,0.001091848484848485,0.0780519480519481,71.48606160568085,0.0004939912790697676,0.038662790697674414,78.26614018466098,0.014699205882352937,1.2311764705882353,83.75802614386934,0.00115203333333333,0.09299999999999953,80.72683082086728,0.00034006666666667323,0.02100000000000035,61.752597529895944
2025-06-22 15:05:48.411,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,4,True,False,False,False,True,True,0.0006333027522935778,0.04283093053735257,67.63105068189819,0.0007639850968703429,0.06839046199701937,89.51805771759186,0.002435461904761905,0.18533333333333335,76.09781658705595,0.0010960173913043482,0.0718695652173913,65.57338030180414,0.0004857771317829456,0.036501937984496115,75.14132633317509,0.014704600000000002,1.2428571428571429,84.52165600268914,0.0004781333333333318,0.0346666666666664,72.50418293363046,0.0004149999999999987,0.04366666666666674,105.22088353413706
2025-06-22 15:06:07.731,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,4,True,False,False,False,True,True,0.0006662960526315788,0.04817105263157896,72.29677024398435,0.0006053110047846889,0.05502392344497607,90.90190498774801,0.002338665137614679,0.16788990825688072,71.78877623673819,0.0011104761904761908,0.08099567099567095,72.93778262903471,0.0004888981748318922,0.04176753121998079,85.43196389379561,0.01483,1.2282857142857142,82.82439071380406,0.0002866666666666712,0.03799999999999981,132.55813953488098,0.0002937000000000009,0.010333333333333528,35.183293610260456
2025-06-22 15:06:26.880,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,4,True,False,False,False,True,True,0.0006235913272010512,0.04278580814717476,68.61193586385502,0.0007377950581395349,0.06284883720930233,85.18468172961941,0.0022283023255813953,0.1484186046511628,66.60613461076845,0.0011891471861471868,0.08831168831168829,74.26472461984828,0.0004932526416906819,0.04028818443804034,81.6785984155053,0.015221441176470587,1.2867647058823528,84.53632550059997,0.00021670000000000716,0.02499999999999991,115.36686663589795,0.00014876666666666788,0.027666666666666284,185.97356038538692
2025-06-22 15:06:45.018,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,8,True,False,False,False,True,True,0.0006709033112582783,0.054000000000000006,80.48849825874771,0.0007226144756277695,0.06181683899556868,85.54608450358742,0.0024011342592592595,0.18092592592592593,75.35019136403513,0.001043969565217392,0.08734782608695646,83.66893920778955,0.00045458117195004797,0.03347742555235352,73.64454935241405,0.014403888888888893,1.4205555555555556,98.62305704477954,0.0011898709677419378,0.23580645161290326,198.17817057962336,0.00023148387096773998,0.05225806451612902,225.75250836120588
2025-06-22 15:07:03.208,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,8,True,False,False,False,True,True,0.0006324867374005306,0.04603448275862069,72.78331708237661,0.0007276127596439168,0.06554896142433235,90.08770194795797,0.002357071428571429,0.16847619047619047,71.47691344182147,0.001184818965517242,0.08504310344827581,71.77729756473774,0.0004846209213051825,0.03907869481765835,80.63765532947173,0.014315371428571429,1.3894285714285717,97.0585065404221,0.0006668064516129057,0.0370967741935484,55.63349620240898,0.00026899999999999147,0.008709677419354467,32.37798297157897
2025-06-22 15:07:21.477,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,8,True,False,False,False,True,True,0.0006376883963494133,0.048031290743155146,75.32094204335655,0.0007496267806267805,0.06562678062678062,87.54593928982705,0.002485813953488372,0.18483720930232558,74.35681541771916,0.0011076157205240182,0.07449781659388643,67.2596237245903,0.0004911265700483092,0.039256038647343,79.93059435469276,0.014909083333333337,1.4458333333333335,96.97667529302605,0.00012148387096773405,0.06838709677419397,562.931492299562,0.00026254838709677264,0.06258064516129025,238.35852070279017
2025-06-22 15:07:39.662,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,8,True,False,False,False,True,True,0.0006142436053593179,0.04638246041412911,75.51150717636935,0.000743064139941691,0.06409620991253642,86.25932334396613,0.0023622803738317763,0.17700934579439254,74.931556709025,0.0009652813852813855,0.07653679653679657,79.2896223876581,0.0004908214971209213,0.04183301343570057,85.23060558896908,0.01516908333333333,1.5155555555555558,99.91082007079461,0.00048680645161290614,0.020967741935483453,43.072029686567035,0.00014187096774193747,0.07096774193548416,500.22737608003143
2025-06-22 15:07:57.761,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,8,True,False,False,False,True,True,0.0006838815789473685,0.05267105263157895,77.01779701779702,0.0007392584434654919,0.06452276064610867,87.28038376354445,0.002275241860465117,0.16776744186046513,73.73609143520646,0.0010452025862068967,0.08116379310344829,77.65364741202622,0.00048661078998073215,0.03874759152215799,79.62748118201867,0.01380465714285714,1.3465714285714285,97.54472093268733,0.00011093548387097057,0.04354838709677411,392.5559755742841,9.093548387096445e-05,0.04709677419354863,517.9141539553248
